office_name	longitude	latitude	streetname	streetnum	city	zipcode
San Antonio	NULL	NULL	Galaxy Dr	154	San Antonio	78227
Dallas	-96.945892000000	32.624969000000	Nutmeg	7155	Dallas	75249
Houston Central	-95.565696716309	30.469800949097	Sunfish Road	15639	Willis	77318
Denton	-97.227600000000	32.996231000000	Walnut	208	Roanoke	76262
Fort Worth	-97.371475219700	32.697677612300	Shelby	3632	Fort Worth	76109
Fort Worth	-97.378097534200	32.770828247100	Edgefield	801	Fort Worth	76107
Dallas	-97.097709655800	33.156269073500	Andalusian	3415	Denton	76210
Fort Worth	-96.651657104500	32.747268676800	Cedar Mountain	9911	Dallas	75217
San Antonio	-98.454307556152	29.397705078125	KAYTON AVE	1001	San Antonio	78210
San Antonio	-98.605431000000	29.504587000000	DASHWOOD	7719	San Antonio	78240
Dallas	-96.960922241200	32.810478210400	4th	1212	Irving	75060
San Antonio	-98.501167297363	29.465063095093	ROSEWOOD AVE	503	San Antonio	78212
Dallas	-96.652984619100	32.740989685100	Red Cloud	1632	Dallas	75217
San Antonio	-98.472740000000	29.431749000000	Lamar	511	San Antonio	78202
San Antonio	-98.493621826172	29.335157394409	EMMETT AVE	523	San Antonio	78221
Fort Worth	-97.788732647900	32.763197198500	Mill	408	Weatherford	76086
San Antonio	-98.447349548340	29.501754760742	Larkwood	614	San Antonio	78209
San Antonio	-98.503227233887	29.453563690186	Mistletoe Ave	610	San Antonio	78212
Fort Worth	-96.685890197800	33.024711608900	Redbud	2110	PLANO	75074
Dallas	-96.836387634300	32.917945861800	Rickover	4244	Dallas	75244
Fort Worth	-96.951744079600	33.395111084000	Liberty	567	Pilot Point	76258
Denton	-96.881271362300	33.098541259800	Pruitt	5109	The Colony	75056
Dallas	-96.680404663100	32.824901580800	Healey	2106	Dallas	75228
Fort Worth	-97.378479003900	32.749969482400	Mattison	4056	Fort Worth	76107
Dallas	-96.858749389600	32.888092041000	Merrell	3605	Dallas	75229
Atlanta	-84.261722000000	33.730839900000	Rosewood	2032	Decatur	30032
Atlanta	-84.236116000000	33.752373900000	Austin	1376	Decatur	30032
Atlanta	-84.258712768555	33.821331024170	GABLEWOOD	3188	Decatur	30033
Atlanta	-84.305669000000	33.732638900000	Delphine	2007	Decatur	30032
Fort Worth	-97.380615234375	32.649257659912	El Toro	6450	Fort Worth	76133
San Antonio	-98.540184020996	29.454532623291	Craig Pl	2619	San Antonio	78228
Houston Central	-95.470070000000	29.659883000000	Kinglet	5115	Houston	77035
San Antonio	-98.446678161621	29.631807327271	OAK PEAK	2131	San Antonio	78259
Fort Worth	-97.071853637695	32.725135803223	Mitchell	2131	Arlington	76010
San Antonio	-98.571877000000	29.475540000000	ROLLING GREEN DR	135	San Antonio	78228
Fort Worth	-97.381813049316	32.677104949951	Whitfield	4116	Fort Worth	76109
Fort Worth	-97.381058000000	32.731197000000	Lovell	4210	Fort Worth	76107
Atlanta	-84.260864257812	33.863834381104	Rangewood	2645	Atlanta	30345
Atlanta	-84.326889038086	33.740821838379	Wilkinson	420	Atlanta	30317
Fort Worth	-97.342522000000	32.708748000000	Ryan	2921	Fort Worth	76110
Houston Central	-95.536163330078	29.569917678833	Fountain Valley	2126	Missouri City	77459
Atlanta	-84.299659729004	33.738040924072	Daniel	531	Decatur	30032
Dallas	-96.858810000000	32.885014000000	Timber Trail	10218	Dallas	75229
San Antonio	-98.656677246094	29.488285064697	TIMBERWILDE ST	8727	San Antonio	78250
Fort Worth	-97.390709000000	32.795815000000	Macie	4800	Fort Worth	76114
Denton	-96.892944000000	32.982285000000	Canterbury	2500	Carrollton	75006
Los Angeles	-118.119736000000	34.105747000000	El Molino	529	Alhambra	91801
San Antonio	-98.417183000000	29.512920000000	STARHILL DR	3939	San Antonio	78218
Houston Central	-95.369628000000	29.717479000000	Southmore	3102	Houston	77004
Houston Central	-95.184036000000	29.687915000000	Effie	1602	Pasadena	77502
San Antonio	-98.466552734375	29.426603317261	Dawson	1033	San Antonio	78202
San Antonio	-98.565918000000	29.490225000000	CRESTRIDGE DR	3906	San Antonio	78229
San Antonio	-98.456139000000	29.408689000000	VINE ST	210	San Antonio	78210
Fort Worth	-97.234482000000	32.879478000000	Fair Meadows	6753	North Richland Hills	76182
Los Angeles	-118.105759000000	34.154686000000	Villa	2165	Pasadena	91107
Houston Central	-95.469734000000	30.147005000000	Yellowood Ct	3	The Woodlands	77380
Fort Worth	-97.175689697266	32.813770294189	Hurstview	313	Hurst	76053
Dallas	-96.879944000000	33.003460000000	Barton	3113	Carrollton	75007
Houston Central	-95.064377000000	29.568871000000	Shirleen Dr	307	Pasadena	77586
San Antonio	-98.499637395144	29.463974833488	Hollywood Ave	412	San Antonio	78212
Fort Worth	-97.315994000000	32.788307000000	Bluebird	2020	Fort Worth	76111
Dallas	-96.779137000000	32.952518000000	Tophill	7443	Dallas	75248
Atlanta	-84.289001464844	33.811176300049	Willivee	1281	Decatur	30033
Houston Central	-95.544441000000	29.694319000000	Hendon	9039	Houston	77036
Houston Central	-95.537345886230	29.976919174194	Belinda Court	13619	Houston	77069
Atlanta	-84.371536000000	33.871490000000	Chateaugay	495	Atlanta	30342
Los Angeles	-117.806617736820	33.770603179932	Vale	18682	Santa Ana	92705
Los Angeles	-118.158119000000	34.175720000000	Newport	1744	Pasadena	91103
Fort Worth	-97.391945000000	32.344032000000	FEATHERSTON	308	Cleburne	76033
Los Angeles	-118.032351000000	34.168773000000	Santa Anita	2161	Sierra Madre	91024
Atlanta	-84.445373535156	33.738948822021	Westwood	1761	Atlanta	30310
Fort Worth	-97.275352000000	32.816746000000	Vicki	4929	Haltom City	76117
Fort Worth	-97.141205000000	32.672768000000	Riverforest	2007	Arlington	76017
Atlanta	-84.251869201660	33.876583099365	Medinah	3016	Chamblee	30341
Philadelphia	-75.157024800000	39.930252800000	DICKINSON	702	PHILADELPHIA	19147
Los Angeles	-118.016075000000	33.960850000000	Tedemory	14429	Whittier	90605
Dallas	-96.911392000000	32.635204000000	Cardinal Creek	1427	Duncanville	75137
Atlanta	-84.298355102539	33.813518524170	Hill Park	2223	Decatur	30033
Atlanta	-84.563194000000	33.860645000000	Herren	3829	Smyrna	30082
Atlanta	-84.300094604492	33.549209594727	Old South	7505	Jonesboro	30236
Houston Central	-95.578062000000	29.738389000000	WICKERSHAM LN	11415	HOUSTON	77077
Houston Central	-95.674774000000	29.698954000000	Espinosa	16330	HOUSTON	77083
Atlanta	-84.320236000000	33.714417000000	BRANNEN	2093	Atlanta	30316
San Antonio	-98.426010000000	29.574848000000	JENKINS DR	3219	San Antonio	78247
Fort Worth	-97.541466000000	32.898693000000	Inwood	408	Azle	76020
Fort Worth	-97.397781000000	32.341385000000	Featherston	802	Cleburne	76033
Fort Worth	-97.284882000000	32.815754000000	Eastridge	3612	Haltom City	76117
Atlanta	-84.262062072754	33.818630218506	Flamingo	3143	Decatur	30033
Atlanta	-84.426315307617	33.741111755371	Oak Street	1177	Atlanta	30310
Los Angeles	-117.860359000000	34.060371000000	Buenos Aires	2349	Covina	91724
San Antonio	-98.413200378418	29.492595672607	TROPICAL DR	4107	San Antonio	78218
San Antonio	-98.452759000000	29.497286000000	RIDGEHAVEN PL	327	San Antonio	78209
San Antonio	-98.670967000000	29.528824000000	Autumn Shade	9542	San Antonio	78254
Philadelphia	-75.158040001988	39.930965602398	S 8th	1430	Philadelphia	19147
Philadelphia	0.000000000000	0.000000000000	MERCY	415	PHILADELPHIA	19148
Houston Central	-95.492523000000	29.658812000000	HILLCROFT ST	11102	HOUSTON	77096
Fort Worth	-96.869652000000	33.097168000000	Ramsey	5541	The Colony	75056
Dallas	-96.620506286621	33.144584655762	Sloan	1120	Fairview	75069
Fort Worth	-97.220459000000	32.757816000000	Warrington	6404	Fort Worth	76112
Dallas	-96.692841000000	33.032917000000	Laurel	1508	Plano	75074
Dallas	-96.755974000000	32.841518000000	Saint Albans	6253	Dallas	75214
San Antonio	-98.548203000000	29.448586000000	WAVERLY AVE	2215	San Antonio	78228
Fort Worth	-97.099960000000	32.689281000000	Kilrush	3437	Arlington	76014
San Antonio	-98.666298000000	29.413479000000	Fort Henry Dr	1814	San Antonio	78245
Fort Worth	-97.230995000000	32.750607000000	Monterrey	5740	Fort Worth	76112
San Antonio	-98.381958000000	29.512346000000	FENWICK	426	Windcrest	78239
Los Angeles	-118.330933000000	34.058216000000	MUIRFIED	925	Los Angeles	90019
San Antonio	-98.555733000000	29.463892000000	Oriole Ln	231	San Antonio	78228
Fort Worth	-97.443474000000	32.801880000000	Pawnee	7205	Lake Worth	76135
Dallas	-96.723717000000	32.991604000000	Brook Glen	419	Richardson	75080
Fort Worth	-97.119995000000	32.686222000000	Headwater	800	Arlington	76015
Los Angeles	-118.175194000000	34.152798000000	Mooresque	414	Pasadena	91105
Atlanta	-83.996803283691	34.008029937744	waters ferry dr	1940	Lawrenceville	30043
San Antonio	-98.484882000000	29.399361000000	Grove	315	San Antonio	78210
Dallas	-96.802834000000	32.957832000000	Yellow Rock	6030	Dallas	75248
Los Angeles	-117.206596000000	33.699977000000	Ridgemoor	25978	Sun City	92586
Fort Worth	-97.372688293457	32.675834655762	Overton	4812	Fort Worth	76103
Atlanta	-84.423508000000	33.683372000000	Blount	2629	East Point	30344
Fort Worth	-97.370255000000	32.754414000000	4th	3576	Fort Worth	76107
Fort Worth	-97.392746000000	32.341694000000	Smith	504	Cleburne	76033
Fort Worth	-97.474586000000	32.674068000000	Lochness	317	Benbrook	76126
San Antonio	-98.503227000000	29.458393000000	SUMMIT AVE	610	San Antonio	78212
Dallas	-96.705841064453	32.788600921631	Ashbrook	5217	Dallas	75227
Dallas	-96.869698000000	32.584934000000	Priscilla	633	DeSoto	75115
Fort Worth	-97.251144000000	32.748005000000	Montclair	2013	Fort Worth	76103
San Antonio	-98.525101000000	29.453089000000	CRAIG PL	1727	San Antonio	78201
Los Angeles	-118.306213000000	33.868000000000	La Salle	17911	Gardena	90248
Fort Worth	-97.423569000000	32.739697000000	Dakar	1917	Fort Worth	76116
Atlanta	-84.486717224121	34.072891235352	Ravenwood	2263	Marietta	30066
Houston Central	-95.155312000000	29.814308000000	Mountain Mist Trl	15835	Houston	77049
Los Angeles	-117.451698000000	33.925320000000	Acacia	4145	Riverside	92503
Dallas	-96.759575000000	32.942383000000	Dearborn	1219	Richardson	75080
Atlanta	-84.429016113281	34.048908233643	Loch Highland	4225	Roswell	30075
San Antonio	-98.441315000000	29.374437000000	Dollarhide	1111	San Antonio	78223
Dallas	-96.879562377930	32.921253204346	Randy	2939	Farmers Branch	75234
Fort Worth	-96.867882000000	32.991604000000	Seedling	2623	Dallas	75287
Dallas	-96.891082763672	32.960079193115	Hood	1837	Carrollton	75006
Atlanta	-84.267494201660	33.746795654297	Pasadena	2998	Decatur	30032
